d_0011,infusion drotrecogin alfa activated
d_40311,hypertensive chronic kidney disease benign chronic kidney
d_40391,hypertensive chronic kidney disease unspecified chronic
d_40403,hypertensive heart chronic kidney disease malignant
d_4041,radical neck dissection unilateral
d_4042,radical neck dissection bilateral
d_40493,hypertensive heart chronic kidney disease unspecified
d_40591,unspecified renovascular hypertension
d_4064,ligation thoracic duct
d_41001,acute myocardial infarction anterolateral wall initial episo
d_41011,acute myocardial infarction anterior wall initial epis
d_41012,acute myocardial infarction anterior wall subsequent
d_41021,acute myocardial infarction inferolateral wall initial episo
d_4103,allogeneic bone marrow transplant purging
d_41031,acute myocardial infarction inferoposterior wall initial epi
d_4104,autologous hematopoietic stem cell transplant purging
d_41041,acute myocardial infarction inferior wall initial epis
d_41042,acute myocardial infarction inferior wall subsequent
d_4105,allogeneic hematopoietic stem cell transpant purging
d_41051,acute myocardial infarction lateral wall initial episo
d_41061,true posterior wall infarction initial episode care
d_41071,subendocardial infarction initial episode care
d_41072,subendocardial infarction subsequent episode care
d_41081,acute myocardial infarction specified sites initial ep
d_41091,acute myocardial infarction unspecified site initial episode
d_41092,acute myocardial infarction unspecified site subsequent epis
d_4110,postmyocardial infarction syndrome
d_4111,intermediate coronary syndrome
d_41181,acute coronary occlusion myocardial infarction
d_41189,acute subacute forms ischemic heart disease
d_412,old myocardial infarction
d_4131,biopsy bone marrow
d_4131,prinzmetal angina
d_4139,unspecified angina pectoris
d_41400,coronary atherosclerosis unspecified type vessel native
d_41401,coronary atherosclerosis native coronary artery
d_41402,coronary atherosclerosis autologous vein bypass graft
d_41404,coronary atherosclerosis artery bypass graft
d_41410,aneurysm heart wall
d_41412,dissection coronary artery
d_4142,chronic total occlusion coronary artery
d_4148,specified forms chronic ischemic heart disease
d_4149,chronic ischemic heart disease unspecified
d_415,total splenectomy
d_4150,acute cor pulmonale
d_41511,iatrogenic pulmonary embolism infarction
d_41512,septic pulmonary embolism
d_41519,pulmonary embolism infarction
d_4160,primary pulmonary hypertension
d_4162,chronic pulmonary embolism
d_4168,chronic pulmonary heart diseases
d_4169,chronic pulmonary heart disease unspecified
d_4178,specified diseases pulmonary circulation
d_42090,acute pericarditis unspecified
d_42091,acute idiopathic pericarditis
d_42099,acute pericarditis
d_4210,acute subacute bacterial endocarditis
d_4219,acute endocarditis unspecified
d_4223,esophagoscopy
d_4224,closed endoscopic biopsy esophagus
d_4230,hemopericardium
d_4231,adhesive pericarditis
d_4232,constrictive pericarditis
d_4233,endoscopic excision destruction lesion tissue esopha
d_4233,cardiac tamponade
d_4238,specified diseases pericardium
d_4239,unspecified disease pericardium
d_4240,mitral valve disorders
d_4241,aortic valve disorders
d_4241,partial esophagectomy
d_4242,total esophagectomy
d_4242,tricuspid valve disorders specified nonrheumatic
d_42490,endocarditis valve unspecified unspecified cause
d_4252,intrathoracic esophagogastrostomy
d_4254,primary cardiomyopathies
d_4255,alcoholic cardiomyopathy
d_4257,nutritional metabolic cardiomyopathy
d_4258,cardiomyopathy diseases elsewhere
d_4259,secondary cardiomyopathy unspecified
d_4260,atrioventricular block complete
d_42610,atrioventricular block unspecified
d_42611,first degree atrioventricular block
d_42612,mobitz type ii atrioventricular block
d_42613,second degree atrioventricular block
d_4263,left bundle branch block
d_4264,right bundle branch block
d_42652,right bundle branch block left anterior fascicular block
d_42653,bilateral bundle branch block
d_4266,heart block
d_4267,anomalous atrioventricular excitation
d_42682,long qt syndrome
d_42689,specified conduction disorders
d_4269,conduction disorder unspecified
d_4270,paroxysmal supraventricular tachycardia
d_4271,paroxysmal ventricular tachycardia
d_4272,paroxysmal tachycardia unspecified
d_42731,atrial fibrillation
d_42732,atrial flutter
d_42741,ventricular fibrillation
d_4275,cardiac arrest
d_42769,premature beats
d_42781,sinoatrial node dysfunction
d_42789,specified cardiac dysrhythmias
d_4279,cardiac dysrhythmia unspecified
d_4280,congestive heart failure unspecified
d_4281,left heart failure
d_4281,insertion permanent tube esophagus
d_4282,suture laceration esophagus
d_42820,systolic heart failure unspecified
d_42821,acute systolic heart failure
d_42822,chronic systolic heart failure
d_42823,acute chronic systolic heart failure
d_42830,diastolic heart failure unspecified
d_42831,acute diastolic heart failure
d_42832,chronic diastolic heart failure
d_42833,acute chronic diastolic heart failure
d_42840,combined systolic diastolic heart failure unspecified
d_42841,acute combined systolic diastolic heart failure
d_42842,chronic combined systolic diastolic heart failure
d_42843,acute chronic combined systolic diastolic heart failure
d_4287,graft esophagus
d_4289,repair esophagus
d_4289,heart failure unspecified
d_4290,myocarditis unspecified
d_4292,dilation esophagus
d_4293,cardiomegaly
d_4294,functional disturbances following cardiac surgery
d_4295,rupture chordae tendineae
d_42971,acquired cardiac septal defect
d_42979,certain sequelae myocardial infarction elsewhere classif
d_42983,takotsubo syndrome
d_42989,ill-defined heart diseases
d_4299,heart disease unspecified
d_430,subarachnoid hemorrhage
d_430,gastrotomy
d_431,intracerebral hemorrhage
d_4311,percutaneous endoscopic gastrostomy peg
d_4319,gastrostomy
d_4320,nontraumatic extradural hemorrhage
d_4321,subdural hemorrhage
d_4329,unspecified intracranial hemorrhage
d_43300,occlusion stenosis basilar artery mention cere
d_43301,occlusion stenosis basilar artery cerebral infarctio
d_43310,occlusion stenosis carotid artery mention cere
d_43311,occlusion stenosis carotid artery cerebral infarctio
d_43320,occlusion stenosis vertebral artery mention ce
d_43321,occlusion stenosis vertebral artery cerebral infarct
d_43331,occlusion stenosis multiple bilateral precerebral art
d_43380,occlusion stenosis specified precerebral artery wit
d_43401,cerebral thrombosis cerebral infarction
d_4341,endoscopic excision destruction lesion tissue stomac
d_43410,cerebral embolism mention cerebral infarction
d_43411,cerebral embolism cerebral infarction
d_43490,cerebral artery occlusion unspecified mention cerebr
d_43491,cerebral artery occlusion unspecified cerebral infarction
d_435,partial gastrectomy anastomosis esophagus
d_4352,subclavian steal syndrome
d_4358,specified transient cerebral ischemias
d_4359,unspecified transient cerebral ischemia
d_436,acute ill-defined cerebrovascular disease
d_437,partial gastrectomy anastomosis jejunum
d_4370,cerebral atherosclerosis
d_4372,hypertensive encephalopathy
d_4373,cerebral aneurysm nonruptured
d_4375,moyamoya disease
d_4378,ill-defined cerebrovascular disease
d_4379,unspecified cerebrovascular disease
d_4380,late effects cerebrovascular disease cognitive deficits
d_43810,late effects cerebrovascular disease speech language def
d_43811,late effects cerebrovascular disease aphasia
d_43812,late effects cerebrovascular disease dysphasia
d_43813,late effects cerebrovascular disease dysarthria
d_43819,late effects cerebrovascular disease speech langua
d_43820,late effects cerebrovascular disease hemiplegia affecting
d_43821,late effects cerebrovascular disease hemiplegia affecting do
d_43822,late effects cerebrovascular disease hemiplegia affecting no
d_43830,late effects cerebrovascular disease monoplegia upper lim
d_4386,late effects cerebrovascular disease alterations sensatio
d_4387,late effects cerebrovascular disease disturbances vision
d_43882,late effects cerebrovascular disease dysphagia
d_43883,late effects cerebrovascular disease facial weakness
d_43884,late effects cerebrovascular disease ataxia
d_43889,late effects cerebrovascular disease
d_4389,open partial gastrectomy
d_4389,unspecified late effects cerebrovascular disease
d_4399,total gastrectomy
d_4400,atherosclerosis aorta
d_4401,atherosclerosis renal artery
d_44020,atherosclerosis native arteries extremities unspecifi
d_44021,atherosclerosis native arteries extremities inter
d_44022,atherosclerosis native arteries extremities rest
d_44023,atherosclerosis native arteries extremities ulcer
d_44024,atherosclerosis native arteries extremities gangr
d_44029,atherosclerosis native arteries extremities
d_44031,atherosclerosis autologous vein bypass graft extremiti
d_4404,chronic total occlusion artery extremities
d_4408,atherosclerosis specified arteries
d_44100,dissection aorta unspecified site
d_44101,dissection aorta thoracic
d_44102,dissection aorta abdominal
d_44103,dissection aorta thoracoabdominal
d_4411,thoracic aneurysm ruptured
d_4412,thoracic aneurysm mention rupture
d_4413,gastroscopy
d_4413,abdominal aneurysm ruptured
d_4414,abdominal aneurysm mention rupture
d_4416,thoracoabdominal aneurysm ruptured
d_4417,thoracoabdominal aneurysm mention rupture
d_4420,aneurysm artery upper extremity
d_4422,endoscopic dilation pylorus
d_4422,aneurysm iliac artery
d_4423,aneurysm artery lower extremity
d_44281,aneurysm artery neck
d_44283,aneurysm splenic artery
d_44284,aneurysm visceral artery
d_44289,aneurysm specified artery
d_4429,pyloroplasty
d_4430,raynauds syndrome
d_4431,high gastric bypass
d_4432,percutaneous endoscopic gastrojejunostomy
d_44321,dissection carotid artery
d_44322,dissection iliac artery
d_44323,dissection renal artery
d_44324,dissection vertebral artery
d_44329,dissection artery
d_4438,laparoscopic gastroenterostomy
d_44381,peripheral angiopathy diseases elsewhere
d_44389,specified peripheral vascular diseases
d_4439,gastroenterostomy gastrectomy
d_4439,peripheral vascular disease unspecified
d_44409,arterial embolism thrombosis abdominal aorta
d_4441,embolism thrombosis thoracic aorta
d_4441,suture gastric ulcer site
d_4442,suture duodenal ulcer site
d_44421,arterial embolism thrombosis upper extremity
d_44422,arterial embolism thrombosis lower extremity
d_4443,endoscopic control gastric duodenal bleeding
d_4444,transcatheter embolization gastric duodenal bleeding
d_44481,embolism thrombosis iliac artery
d_44489,embolism thrombosis specified artery
d_4449,embolism thrombosis unspecified artery
d_445,revision gastric anastomosis
d_44502,atheroembolism lower extremity
d_4461,suture laceration stomach
d_4462,closure gastrostomy
d_44629,specified hypersensitivity angiitis
d_4463,closure gastric fistula
d_4464,wegeners granulomatosis
d_4465,giant cell arteritis
d_4466,thrombotic microangiopathy
d_4466,procedures creation esophagogastric sphincteric com
d_4467,takayasus disease
d_4467,laparoscopic procedures creation esophagogastric sphincte
d_4469,repair stomach
d_4470,arteriovenous fistula acquired
d_4471,stricture artery
d_4472,rupture artery
d_4474,celiac artery compression syndrome
d_4476,arteritis unspecified
d_4478,specified disorders arteries arterioles
d_4479,unspecified disorders arteries arterioles
d_449,septic arterial embolism
d_4499,operations stomach
d_4502,incision small intestine
d_4512,endoscopy small intestine through artificial stoma
d_4513,endoscopy small intestine
d_4514,closed endoscopic biopsy small intestine
d_4516,esophagogastroduodenoscopy egd closed biopsy
d_45182,phlebitis thrombophlebitis superficial veins upper ext
d_45184,phlebitis thrombophlebitis upper extremities unspecified
d_45189,phlebitis thrombophlebitis sites
d_4519,diagnostic procedures small intestine
d_4519,phlebitis thrombophlebitis unspecified site
d_452,portal vein thrombosis
d_4522,endoscopy large intestine through artificial stoma
d_4523,colonoscopy
d_4524,flexible sigmoidoscopy
d_4525,closed endoscopic biopsy large intestine
d_4531,thrombophlebitis migrans
d_4532,venous embolism thrombosis inferior vena cava
d_4533,local excision lesion tissue small intestine except du
d_4533,venous embolism thrombosis renal vein
d_4534,destruction lesion small intestine except duodenum
d_45340,acute venous embolism thrombosis unspecified deep vessels
d_45341,acute venous embolism thrombosis deep vessels proximal
d_45342,acute venous embolism thrombosis deep vessels distal l
d_45350,chronic venous embolism thrombosis unspecified deep vesse
d_45351,chronic venous embolism thrombosis deep vessels proxim
d_4536,venous embolism thrombosis superficial vessels lower
d_45372,chronic venous embolism thrombosis deep veins upper ex
d_45375,chronic venous embolism thrombosis subclavian veins
d_45376,chronic venous embolism thrombosis internal jugular veins
d_45381,acute venous embolism thrombosis superficial veins upp
d_45382,acute venous embolism thrombosis deep veins upper extr
d_45383,acute venous embolism thrombosis upper extremity unspeci
d_45384,acute venous embolism thrombosis axillary veins
d_45385,acute venous embolism thrombosis subclavian veins
d_45386,acute venous embolism thrombosis internal jugular veins
d_45387,acute venous embolism thrombosis thoracic veins
d_45389,acute venous embolism thrombosis specified veins
d_4541,excision lesion tissue large intestine
d_4542,endoscopic polypectomy large intestine
d_4543,endoscopic destruction lesion tissue large intest
d_4549,asymptomatic varicose veins
d_4550,internal hemorrhoids mention complication
d_4551,isolation segment small intestine
d_4552,internal hemorrhoids complication
d_4553,external hemorrhoids mention complication
d_4555,external hemorrhoids complication
d_4556,unspecified hemorrhoids mention complication
d_4558,unspecified hemorrhoids complication
d_4560,esophageal varices bleeding
d_4561,esophageal varices mention bleeding
d_4561,multiple segmental resection small intestine
d_4562,partial resection small intestine
d_45620,esophageal varices diseases elsewhere bleedi
d_45621,esophageal varices diseases elsewhere men
d_4568,varices sites
d_4571,open multiple segmental resection large intestine
d_4571,lymphedema
d_4572,open cecectomy
d_4573,open right hemicolectomy
d_4574,open resection transverse colon
d_4575,open left hemicolectomy
d_4576,open sigmoidectomy
d_4578,noninfectious disorders lymphatic channels
d_4579,unspecified partial excision large intestine
d_4580,orthostatic hypotension
d_4582,open total intra-abdominal colectomy
d_45821,hypotension hemodialysis
d_45829,iatrogenic hypotension
d_4588,specified hypotension
d_4589,hypotension unspecified
d_4590,hemorrhage unspecified
d_4591,small-to-small intestinal anastomosis
d_4592,compression vein
d_4593,small-to-large intestinal anastomosis
d_4594,large-to-large intestinal anastomosis
d_4595,anastomosis anus
d_45981,venous peripheral insufficiency unspecified
d_45989,specified disorders circulatory system
d_4599,unspecified circulatory system disorder
d_4601,exteriorization small intestine
d_4603,exteriorization large intestine
d_4610,acute maxillary sinusitis
d_4610,colostomy otherwise specified
d_4611,temporary colostomy
d_4613,permanent colostomy
d_4613,acute sphenoidal sinusitis
d_4618,acute sinusitis
d_4619,acute sinusitis unspecified
d_462,acute pharyngitis
d_4620,ileostomy otherwise specified
d_4621,temporary ileostomy
d_4623,permanent ileostomy
d_4632,percutaneous endoscopic jejunostomy pej
d_4639,enterostomy
d_46400,acute laryngitis mention obstruction
d_4641,revision stoma small intestine
d_46410,acute tracheitis mention obstruction
d_4642,repair pericolostomy hernia
d_4643,revision stoma large intestine
d_46431,acute epiglottitis obstruction
d_4651,closure stoma small intestine
d_4652,closure stoma large intestine
d_4659,acute upper respiratory infections unspecified site
d_4660,acute bronchitis
d_46611,acute bronchiolitis due respiratory syncytial virus rsv
d_46619,acute bronchiolitis due infectious organisms
d_4671,suture laceration duodenum
d_4672,closure fistula duodenum
d_4673,suture laceration small intestine except duodenum
d_4674,closure fistula small intestine except duodenum
d_4675,suture laceration large intestine
d_4676,closure fistula large intestine
d_4679,repair intestine
d_4681,intra-abdominal manipulation small intestine
d_4682,intra-abdominal manipulation large intestine
d_4685,dilation intestine
d_4686,endoscopic insertion colonic stents
d_4693,revision anastomosis small intestine
d_4694,revision anastomosis large intestine
d_4701,laparoscopic appendectomy
d_4709,appendectomy
d_4719,incidental appendectomy
d_4720,chronic rhinitis
d_4730,chronic maxillary sinusitis
d_4732,chronic ethmoidal sinusitis
d_4733,chronic sphenoidal sinusitis
d_4738,chronic sinusitis
d_4739,unspecified sinusitis chronic
d_475,peritonsillar abscess
d_4778,allergic rhinitis due allergen
d_4779,allergic rhinitis cause unspecified
d_47822,parapharyngeal abscess
d_47824,retropharyngeal abscess
d_47825,edema pharynx nasopharynx
d_47829,diseases pharynx elsewhere
d_47830,paralysis vocal cords larynx unspecified
d_47831,unilateral paralysis vocal cords larynx partial
d_47832,unilateral paralysis vocal cords larynx complete
d_47833,bilateral paralysis vocal cords larynx partial
d_4784,polyp vocal cord larynx
d_4785,diseases vocal cords
d_4786,edema larynx
d_47874,stenosis larynx
d_47875,laryngeal spasm
d_47879,diseases larynx elsewhere
d_4801,pneumonia due respiratory syncytial virus
d_4802,pneumonia due parainfluenza virus
d_4809,viral pneumonia unspecified
d_481,pneumococcal pneumonia streptococcus pneumoniae pneumonia
d_4820,pneumonia due klebsiella pneumoniae
d_4821,pneumonia due pseudomonas
d_4822,pneumonia due hemophilus influenzae influenzae
d_4823,rigid proctosigmoidoscopy
d_48230,pneumonia due streptococcus unspecified
d_48239,pneumonia due streptococcus
d_4824,closed endoscopic biopsy rectum
d_48240,pneumonia due staphylococcus unspecified
d_48241,methicillin susceptible pneumonia due staphylococcus aureus
d_48242,methicillin resistant pneumonia due staphylococcus aureus
d_48249,staphylococcus pneumonia
d_48282,pneumonia due escherichia coli coli
d_48283,pneumonia due gram-negative bacteria
d_48284,pneumonia due legionnaires disease
d_48289,pneumonia due specified bacteria
d_4829,bacterial pneumonia unspecified
d_4830,pneumonia due mycoplasma pneumoniae
d_4836,endoscopic polypectomy rectum
d_4838,pneumonia due specified organism
d_4841,pneumonia cytomegalic inclusion disease
d_4846,pneumonia aspergillosis
d_4847,pneumonia systemic mycoses
d_485,bronchopneumonia organism unspecified
d_4852,open abdominoperineal resection rectum
d_486,pneumonia organism unspecified
d_4862,anterior resection rectum synchronous colostomy
d_4863,anterior resection rectum
d_4869,resection rectum
d_4870,influenza pneumonia
d_4871,influenza respiratory manifestations
d_4881,incision perirectal tissue
d_490,bronchitis specified acute chronic
d_49120,obstructive chronic bronchitis exacerbation
d_49121,obstructive chronic bronchitis acute exacerbation
d_49122,obstructive chronic bronchitis acute bronchitis
d_4918,chronic bronchitis
d_4919,unspecified chronic bronchitis
d_4920,emphysematous bleb
d_4921,anoscopy
d_4928,emphysema
d_49302,extrinsic asthma acute exacerbation
d_49320,chronic obstructive asthma unspecified
d_49321,chronic obstructive asthma status asthmaticus
d_49322,chronic obstructive asthma acute exacerbation
d_49390,asthma unspecified type unspecified
d_49391,asthma unspecified type status asthmaticus
d_49392,asthma unspecified type acute exacerbation
d_4941,bronchiectasis acute exacerbation
d_4945,ligation hemorrhoids
d_496,chronic airway obstruction elsewhere
d_500,hepatotomy
d_501,asbestosis
d_5011,closed percutaneous needle biopsy liver
d_5012,open biopsy liver
d_5013,transjugular liver biopsy
d_5014,laparoscopic liver biopsy
d_5022,partial hepatectomy
d_5024,percutaneous ablation liver lesion tissue
d_5029,destruction lesion liver
d_503,lobectomy liver
d_504,total hepatectomy
d_5051,auxiliary liver transplant
d_5059,transplant liver
d_5060,bronchitis pneumonitis due fumes vapors
d_5061,closure laceration liver
d_5069,repair liver
d_5070,pneumonitis due inhalation food vomitus
d_5080,acute pulmonary manifestations due radiation
l_50803,calculated bicarbonate  whole blood
l_50804,calculated total co2
l_50805,carboxyhemoglobin
l_50806,chloride  whole blood
l_50808,free calcium
d_5081,chronic pulmonary manifestations due radiation
l_50813,lactate
l_50814,methemoglobin
l_50818,pco2
l_50821,po2
l_50822,potassium  whole blood
l_50824,sodium  whole blood
l_50852,% hemoglobin a1c
l_50853,25-oh vitamin d
l_50856,acetaminophen
l_50861,alanine aminotransferase
l_50862,albumin
l_50863,alkaline phosphatase
l_50864,alpha-fetoprotein
l_50866,ammonia
l_50867,amylase
l_50868,anion gap
l_50878,asparate aminotransferase
l_50881,beta-2 microglobulin
l_50882,bicarbonate
l_50883,bilirubin  direct
l_50885,bilirubin  total
l_50889,c-reactive protein
l_50890,c3
l_50891,c4
l_50892,ca-125
l_50893,calcium  total
l_50896,calculated thyroxine  index
l_50899,carbamazepine
l_50900,carcinoembyronic antigen
l_50902,chloride
l_50905,cholesterol  ldl  calculated
l_50906,cholesterol  ldl  measured
l_50907,cholesterol  total
l_50908,ck-mb index
l_50909,cortisol
d_5091,percutaneous aspiration liver
l_50910,creatine kinase
l_50911,creatine kinase  mb isoenzyme
l_50912,creatinine
l_50914,cyclosporin
l_50917,digoxin
l_50922,ethanol
l_50924,ferritin
l_50927,gamma glutamyltransferase
l_50929,gentamicin
l_50930,globulin
l_50931,glucose
l_50935,haptoglobin
l_50945,homocysteine
l_50949,immunoglobulin a
l_50950,immunoglobulin g
l_50951,immunoglobulin m
l_50952,iron
l_50953,iron binding capacity  total
l_50954,lactate dehydrogenase
l_50956,lipase
l_50957,lithium
l_50960,magnesium
l_50963,ntprobnp
l_50964,osmolality  measured
l_50965,parathyroid hormone
l_50966,phenobarbital
l_50967,phenytoin
l_50968,phenytoin  free
l_50969,phenytoin  percent free
l_50970,phosphate
l_50971,potassium
l_50973,prolactin
l_50974,prostate specific antigen
l_50976,protein  total
l_50978,rapamycin
l_50980,rheumatoid factor
l_50981,salicylate
l_50983,sodium
l_50986,tacrofk
l_50990,theophylline
l_50993,thyroid stimulating hormone
l_50994,thyroxine
l_50995,thyroxine   free
l_50997,tobramycin
l_50998,transferrin
d_5100,empyema fistula
l_51000,triglycerides
l_51001,triiodothyronine
l_51002,troponin i
l_51003,troponin t
l_51006,urea nitrogen
l_51007,uric acid
l_51008,valproic acid
l_51009,vancomycin
d_5101,percutaneous aspiration gallbladder
l_51010,vitamin b12
l_51018,total protein  csf
d_5102,trocar cholecystostomy
d_5103,cholecystostomy
l_51070,albumin/creatinine  urine
l_51080,creatinine clearance
d_5109,empyema mention fistula
l_51099,protein/creatinine ratio
d_5110,pleurisy mention effusion current tuberculosis
d_5110,endoscopic retrograde cholangiopancreatography ercp
d_5111,pleurisy effusion mention bacterial cause
d_5111,endoscopic retrograde cholangiography erc
l_51115,hematocrit  ascites
l_51117,macrophage
l_51118,mesothelial cell
d_5112,percutaneous biopsy gallbladder bile ducts
l_51123,other
l_51125,polys
l_51127,rbc  ascites
l_51128,wbc  ascites
l_51130,absolute cd3 count
l_51131,absolute cd4 count
l_51132,absolute cd8 count
d_5114,closed endoscopic biopsy biliary duct sphincter
l_51140,antithrombin
l_51143,atypical lymphocytes
l_51144,bands
l_51146,basophils
l_51148,blasts
l_51181,malignant pleural effusion
l_51181,cd4/cd8 ratio
d_51189,specified forms effusion except tuberculous
d_5119,unspecified pleural effusion
l_51196,d-dimer
d_5120,spontaneous tension pneumothorax
l_51200,eosinophils
l_51206,factor viii
d_5121,partial cholecystectomy
d_5121,iatrogenic pneumothorax
l_51213,fibrin degradation products
l_51214,fibrinogen  functional
l_51218,granulocyte count
d_5122,cholecystectomy
d_5122,postoperative air leak
l_51221,hematocrit
l_51222,hemoglobin
d_5123,laparoscopic cholecystectomy
l_51232,hypersegmented neutrophils
l_51237,inr
l_51244,lymphocytes
l_51245,lymphocytes  percent
l_51248,mch
l_51249,mchc
l_51250,mcv
l_51251,metamyelocytes
l_51254,monocytes
l_51255,myelocytes
l_51256,neutrophils
l_51257,nucleated red cells
l_51259,other cells
l_51263,plasma cells
l_51265,platelet count
l_51269,promyelocytes
l_51271,protein c  functional
l_51274,pt
l_51275,ptt
l_51276,quantitative g6pd
l_51277,rdw
l_51279,red blood cells
l_51283,reticulocyte count  automated
l_51284,reticulocyte count  manual
l_51288,sedimentation rate
d_51289,pneumothorax
l_51297,thrombin
d_5130,abscess lung
l_51300,wbc count
l_51301,white blood cells
l_51302,young cells
d_5136,choledochoenterostomy
l_51362,rbc  csf
d_5137,anastomosis hepatic duct gastrointestinal tract
l_51383,rbc  joint fluid
l_51384,wbc  joint fluid
d_514,pulmonary congestion hypostasis
d_5141,common duct exploration removal calculus
l_51422,hematocrit  other fluid
d_5143,insertion choledochohepatic tube decompression
l_51434,other cell
l_51438,rbc  other fluid
l_51439,wbc  other fluid
l_51445,hematocrit  pleural
l_51447,macrophages
l_51448,mesothelial cells
l_51450,monos
l_51457,rbc  pleural
l_51458,wbc  pleural
l_51471,cellular cast
l_51479,granular casts
l_51482,hyaline casts
l_51491,ph
l_51493,rbc
l_51498,specific gravity
d_515,postinflammatory pulmonary fibrosis
l_51507,urine casts  other
d_5151,exploration common duct
l_51514,urobilinogen
l_51516,wbc
l_51517,wbc casts
d_5159,incision bile duct
d_5163,excision common duct
d_51631,idiopathic pulmonary fibrosis
d_5168,specified alveolar parietoalveolar pneumonopathies
d_5169,excision bile duct
d_5172,lung involvement systemic sclerosis
d_5173,acute chest syndrome
d_5178,lung involvement diseases elsewhere
d_5179,repair bile ducts
d_5180,pulmonary collapse
d_5181,interstitial emphysema
d_5183,pancreatic sphincteroplasty
d_5183,pulmonary eosinophilia
d_5184,endoscopic dilation ampulla biliary duct
d_5184,acute edema lung unspecified
d_5185,endoscopic sphincterotomy papillotomy
d_51851,acute respiratory failure following trauma surgery
d_51852,pulmonary insufficiency elsewhere followi
d_5187,transfusion related acute lung injury trali
d_5187,endoscopic insertion stent tube bile duct
d_5188,endoscopic removal stones biliary tract
d_51881,acute respiratory failure
d_51882,pulmonary insufficiency elsewhere
d_51883,chronic respiratory failure
d_51884,acute chronic respiratory failure
d_51889,diseases lung elsewhere
d_51901,infection tracheostomy
d_51902,mechanical complication tracheostomy
d_51909,tracheostomy complications
d_51911,acute bronchospasm
d_51919,diseases trachea bronchus
d_5192,mediastinitis
d_5193,diseases mediastinum elsewhere
d_5194,revision anastomosis biliary tract
d_5194,disorders diaphragm
d_5198,percutaneous procedures biliary tract
d_5198,diseases respiratory system elsewhere
d_5201,drainage pancreatic cyst catheter
d_5206,disturbances tooth eruption
d_5209,pancreatotomy
d_52100,dental caries unspecified
d_52109,dental caries
d_5211,closed aspiration needle percutaneous biopsy pancreas
d_52181,cracked tooth
d_5222,excision destruction lesion tissue pancreas
d_5224,acute apical periodontitis pulpal origin
d_5225,periapical abscess sinus
d_52340,chronic periodontitis unspecified
d_5238,specified periodontal diseases
d_5239,unspecified gingival periodontal disease
d_52510,acquired absence teeth unspecified
d_5252,distal pancreatectomy
d_5258,specified disorders teeth supporting structures
d_5259,unspecified disorder teeth supporting structures
d_5259,partial pancreatectomy
d_527,radical pancreaticoduodenectomy
d_5272,sialoadenitis
d_5275,sialolithiasis
d_5280,pancreatic transplant otherwise specified
d_52800,stomatitis mucositis unspecified
d_52801,mucositis ulcerative due antineoplastic therapy
d_52809,stomatitis mucositis ulcerative
d_5282,homotransplant pancreas
d_5282,oral aphthae
d_5283,cellulitis abscess oral soft tissues
d_5289,unspecified diseases oral soft tissues
d_5293,endoscopic insertion stent tube pancreatic duct
d_5296,anastomosis pancreas
d_5298,specified conditions tongue
d_5300,unilateral repair inguinal hernia otherwise specified
d_5300,achalasia cardiospasm
d_5301,open repair direct inguinal hernia
d_53010,esophagitis unspecified
d_53011,reflux esophagitis
d_53012,acute esophagitis
d_53019,esophagitis
d_53021,ulcer esophagus bleeding
d_5303,stricture stenosis esophagus
d_5304,perforation esophagus
d_5304,open repair indirect inguinal hernia graft
d_5305,dyskinesia esophagus
d_5306,diverticulum esophagus acquired
d_5307,gastroesophageal laceration-hemorrhage syndrome
d_53081,esophageal reflux
d_53082,esophageal hemorrhage
d_53084,tracheoesophageal fistula
d_53085,barretts esophagus
d_53089,specified disorders esophagus
d_5310,bilateral repair inguinal hernia otherwise specified
d_53100,acute gastric ulcer hemorrhage mention obstruct
d_53140,chronic unspecified gastric ulcer hemorrhage me
d_53150,chronic unspecified gastric ulcer perforation
d_53170,chronic gastric ulcer mention hemorrhage perforati
d_53190,gastric ulcer unspecified acute chronic mention
d_53200,acute duodenal ulcer hemorrhage mention obstruc
d_53210,acute duodenal ulcer perforation mention obstru
d_53230,acute duodenal ulcer mention hemorrhage perforatio
d_53240,chronic unspecified duodenal ulcer hemorrhage
d_53250,chronic unspecified duodenal ulcer perforation
d_53260,chronic unspecified duodenal ulcer hemorrhage perfor
d_53270,chronic duodenal ulcer mention hemorrhage perforat
d_5329,unilateral femoral herniorrhaphy
d_53290,duodenal ulcer unspecified acute chronic hemorrh
d_53340,chronic unspecified peptic ulcer unspecified site hem
d_53370,chronic peptic ulcer unspecified site mention hemo
d_53390,peptic ulcer unspecified site unspecified acute chroni
d_53400,acute gastrojejunal ulcer hemorrhage mention ob
d_5341,open repair umbilical hernia graft prosthes
d_53440,chronic unspecified gastrojejunal ulcer hemorrhage
d_5349,open umbilical herniorrhaphy
d_53490,gastrojejunal ulcer unspecified acute chronic me
d_53500,acute gastritis mention hemorrhage
d_53501,acute gastritis hemorrhage
d_5351,incisional hernia repair
d_53510,atrophic gastritis mention hemorrhage
d_53511,atrophic gastritis hemorrhage
d_53530,alcoholic gastritis mention hemorrhage
d_53531,alcoholic gastritis hemorrhage
d_53540,specified gastritis mention hemorrhage
d_53541,specified gastritis hemorrhage
d_53550,unspecified gastritis gastroduodenitis mention
d_53551,unspecified gastritis gastroduodenitis hemorrhage
d_53560,duodenitis mention hemorrhage
d_53561,duodenitis hemorrhage
d_5359,repair hernia anterior abdominal wall
